source_id,exam,source_group,source_title,source_type,source_url,local_path,raw_available,markdown_available,module_name,unit_name,captured_at,status,notes
ai900_homepage,ai-900,homepage,AI-900 exam homepage,exam-homepage,https://learn.microsoft.com/en-us/credentials/certifications/exams/ai-900/,ai-900/homepage,yes,yes,,,2026-05-29T18:53:57Z,complete,Official Microsoft Learn exam homepage with local PDF snapshot.
ai900_study_guide,ai-900,study-guide,AI-900 study guide,study-guide,https://learn.microsoft.com/en-us/credentials/certifications/resources/study-guides/ai-900,ai-900/study-guide,yes,yes,,,2026-05-29T18:53:57Z,complete,Official Microsoft Learn study guide with local PDF snapshot.
ai901_homepage,ai-901,homepage,AI-901 exam homepage,exam-homepage,https://learn.microsoft.com/en-us/credentials/certifications/exams/ai-901/,ai-901/homepage,yes,yes,,,2026-05-29T18:53:57Z,complete,Official Microsoft Learn exam homepage with local PDF snapshot.
ai901_study_guide,ai-901,study-guide,AI-901 study guide,study-guide,https://learn.microsoft.com/en-us/credentials/certifications/resources/study-guides/ai-901,ai-901/study-guide,yes,yes,,,2026-05-29T18:53:57Z,complete,Official Microsoft Learn study guide with local PDF snapshot.
ai900_practice_assessment,ai-900,practice-assessment,AI-900 official practice assessment,practice-assessment,https://learn.microsoft.com/en-us/credentials/certifications/exams/ai-900/practice/assessment?assessment-type=practice&assessmentId=26,ai-900/practice-assessment,no,yes,,,2026-05-29T18:53:57Z,incomplete,Placeholder record created because no local exported practice-assessment file or logger session output was available.
path_ai-concepts-for-developers-and-technology-professionals_home,ai-901,microsoft-learn-paths,AI concepts for developers and technology professionals,learning-path-home,https://learn.microsoft.com/en-us/training/paths/ai-concepts/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/path-home,yes,yes,,,2026-05-29T18:53:57Z,complete,Official learning path home page.
ai-concepts-for-developers-and-technology-professionals_introduction-to-ai-concepts_01,ai-901,microsoft-learn-paths,Introduction to AI,learning-unit,https://learn.microsoft.com/en-us/training/modules/get-started-ai-fundamentals/1-introduction/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/modules/01_introduction-to-ai-concepts/01_1-introduction.md,yes,yes,Introduction to AI concepts,Introduction to AI,2026-05-29T18:53:57Z,complete,Copied from local AI-901 Microsoft Learn capture.
ai-concepts-for-developers-and-technology-professionals_introduction-to-ai-concepts_02,ai-901,microsoft-learn-paths,Generative AI and agents,learning-unit,https://learn.microsoft.com/en-us/training/modules/get-started-ai-fundamentals/2-generative-ai/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/modules/01_introduction-to-ai-concepts/02_2-generative-ai.md,yes,yes,Introduction to AI concepts,Generative AI and agents,2026-05-29T18:53:57Z,complete,Copied from local AI-901 Microsoft Learn capture.
ai-concepts-for-developers-and-technology-professionals_introduction-to-ai-concepts_03,ai-901,microsoft-learn-paths,Text and natural language,learning-unit,https://learn.microsoft.com/en-us/training/modules/get-started-ai-fundamentals/5-natural-language-processing/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/modules/01_introduction-to-ai-concepts/03_5-natural-language-processing.md,yes,yes,Introduction to AI concepts,Text and natural language,2026-05-29T18:53:57Z,complete,Copied from local AI-901 Microsoft Learn capture.
ai-concepts-for-developers-and-technology-professionals_introduction-to-ai-concepts_04,ai-901,microsoft-learn-paths,Speech,learning-unit,https://learn.microsoft.com/en-us/training/modules/get-started-ai-fundamentals/4-speech/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/modules/01_introduction-to-ai-concepts/04_4-speech.md,yes,yes,Introduction to AI concepts,Speech,2026-05-29T18:53:57Z,complete,Copied from local AI-901 Microsoft Learn capture.
ai-concepts-for-developers-and-technology-professionals_introduction-to-ai-concepts_05,ai-901,microsoft-learn-paths,Computer vision,learning-unit,https://learn.microsoft.com/en-us/training/modules/get-started-ai-fundamentals/3-computer-vision/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/modules/01_introduction-to-ai-concepts/05_3-computer-vision.md,yes,yes,Introduction to AI concepts,Computer vision,2026-05-29T18:53:57Z,complete,Copied from local AI-901 Microsoft Learn capture.
ai-concepts-for-developers-and-technology-professionals_introduction-to-ai-concepts_06,ai-901,microsoft-learn-paths,Information extraction,learning-unit,https://learn.microsoft.com/en-us/training/modules/get-started-ai-fundamentals/6-extract-insights/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/modules/01_introduction-to-ai-concepts/06_6-extract-insights.md,yes,yes,Introduction to AI concepts,Information extraction,2026-05-29T18:53:57Z,complete,Copied from local AI-901 Microsoft Learn capture.
ai-concepts-for-developers-and-technology-professionals_introduction-to-ai-concepts_07,ai-901,microsoft-learn-paths,Responsible AI,learning-unit,https://learn.microsoft.com/en-us/training/modules/get-started-ai-fundamentals/7-responsible-ai/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/modules/01_introduction-to-ai-concepts/07_7-responsible-ai.md,yes,yes,Introduction to AI concepts,Responsible AI,2026-05-29T18:53:57Z,complete,Copied from local AI-901 Microsoft Learn capture.
ai-concepts-for-developers-and-technology-professionals_introduction-to-ai-concepts_08,ai-901,microsoft-learn-paths,Exercise - Explore AI workloads,learning-unit,https://learn.microsoft.com/en-us/training/modules/get-started-ai-fundamentals/7b-exercise/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/modules/01_introduction-to-ai-concepts/08_7b-exercise.md,yes,yes,Introduction to AI concepts,Exercise - Explore AI workloads,2026-05-29T18:53:57Z,complete,Copied from local AI-901 Microsoft Learn capture.
ai-concepts-for-developers-and-technology-professionals_introduction-to-ai-concepts_09,ai-901,microsoft-learn-paths,Module assessment,learning-unit,https://learn.microsoft.com/en-us/training/modules/get-started-ai-fundamentals/8-knowledge-check/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/modules/01_introduction-to-ai-concepts/09_8-knowledge-check.md,yes,yes,Introduction to AI concepts,Module assessment,2026-05-29T18:53:57Z,complete,Copied from local AI-901 Microsoft Learn capture.
ai-concepts-for-developers-and-technology-professionals_introduction-to-ai-concepts_10,ai-901,microsoft-learn-paths,Summary,learning-unit,https://learn.microsoft.com/en-us/training/modules/get-started-ai-fundamentals/9-summary/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/modules/01_introduction-to-ai-concepts/10_9-summary.md,yes,yes,Introduction to AI concepts,Summary,2026-05-29T18:53:57Z,complete,Copied from local AI-901 Microsoft Learn capture.
ai-concepts-for-developers-and-technology-professionals_introduction-to-generative-ai-and-agents_01,ai-901,microsoft-learn-paths,Introduction,learning-unit,https://learn.microsoft.com/en-us/training/modules/fundamentals-generative-ai/1-introduction/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/modules/02_introduction-to-generative-ai-and-agents/01_1-introduction.md,yes,yes,Introduction to generative AI and agents,Introduction,2026-05-29T18:53:57Z,complete,Copied from local AI-901 Microsoft Learn capture.
ai-concepts-for-developers-and-technology-professionals_introduction-to-generative-ai-and-agents_02,ai-901,microsoft-learn-paths,Large language models (LLMs),learning-unit,https://learn.microsoft.com/en-us/training/modules/fundamentals-generative-ai/3-language-models/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/modules/02_introduction-to-generative-ai-and-agents/02_3-language-models.md,yes,yes,Introduction to generative AI and agents,Large language models (LLMs),2026-05-29T18:53:57Z,complete,Copied from local AI-901 Microsoft Learn capture.
ai-concepts-for-developers-and-technology-professionals_introduction-to-generative-ai-and-agents_03,ai-901,microsoft-learn-paths,Prompts,learning-unit,https://learn.microsoft.com/en-us/training/modules/fundamentals-generative-ai/6-writing-prompts/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/modules/02_introduction-to-generative-ai-and-agents/03_6-writing-prompts.md,yes,yes,Introduction to generative AI and agents,Prompts,2026-05-29T18:53:57Z,complete,Copied from local AI-901 Microsoft Learn capture.
ai-concepts-for-developers-and-technology-professionals_introduction-to-generative-ai-and-agents_04,ai-901,microsoft-learn-paths,AI agents,learning-unit,https://learn.microsoft.com/en-us/training/modules/fundamentals-generative-ai/7-agents/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/modules/02_introduction-to-generative-ai-and-agents/04_7-agents.md,yes,yes,Introduction to generative AI and agents,AI agents,2026-05-29T18:53:57Z,complete,Copied from local AI-901 Microsoft Learn capture.
ai-concepts-for-developers-and-technology-professionals_introduction-to-generative-ai-and-agents_05,ai-901,microsoft-learn-paths,Exercise - Explore generative AI,learning-unit,https://learn.microsoft.com/en-us/training/modules/fundamentals-generative-ai/7a-exercise/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/modules/02_introduction-to-generative-ai-and-agents/05_7a-exercise.md,yes,yes,Introduction to generative AI and agents,Exercise - Explore generative AI,2026-05-29T18:53:57Z,complete,Copied from local AI-901 Microsoft Learn capture.
ai-concepts-for-developers-and-technology-professionals_introduction-to-generative-ai-and-agents_06,ai-901,microsoft-learn-paths,Module assessment,learning-unit,https://learn.microsoft.com/en-us/training/modules/fundamentals-generative-ai/8-knowledge-check/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/modules/02_introduction-to-generative-ai-and-agents/06_8-knowledge-check.md,yes,yes,Introduction to generative AI and agents,Module assessment,2026-05-29T18:53:57Z,complete,Copied from local AI-901 Microsoft Learn capture.
ai-concepts-for-developers-and-technology-professionals_introduction-to-generative-ai-and-agents_07,ai-901,microsoft-learn-paths,Summary,learning-unit,https://learn.microsoft.com/en-us/training/modules/fundamentals-generative-ai/9-summary/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/modules/02_introduction-to-generative-ai-and-agents/07_9-summary.md,yes,yes,Introduction to generative AI and agents,Summary,2026-05-29T18:53:57Z,complete,Copied from local AI-901 Microsoft Learn capture.
ai-concepts-for-developers-and-technology-professionals_introduction-to-natural-language-processing-concepts_01,ai-901,microsoft-learn-paths,Introduction,learning-unit,https://learn.microsoft.com/en-us/training/modules/introduction-language/1-introduction/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/modules/03_introduction-to-natural-language-processing-concepts,no,no,Introduction to natural language processing concepts,Introduction,2026-05-29T18:53:57Z,incomplete,Copied from local AI-901 Microsoft Learn capture.
ai-concepts-for-developers-and-technology-professionals_introduction-to-natural-language-processing-concepts_02,ai-901,microsoft-learn-paths,Tokenization,learning-unit,https://learn.microsoft.com/en-us/training/modules/introduction-language/2-how-it-works/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/modules/03_introduction-to-natural-language-processing-concepts,no,no,Introduction to natural language processing concepts,Tokenization,2026-05-29T18:53:57Z,incomplete,Copied from local AI-901 Microsoft Learn capture.
ai-concepts-for-developers-and-technology-professionals_introduction-to-natural-language-processing-concepts_03,ai-901,microsoft-learn-paths,Statistical text analysis.,learning-unit,https://learn.microsoft.com/en-us/training/modules/introduction-language/3-statistical-techniques/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/modules/03_introduction-to-natural-language-processing-concepts,no,no,Introduction to natural language processing concepts,Statistical text analysis.,2026-05-29T18:53:57Z,incomplete,Copied from local AI-901 Microsoft Learn capture.
ai-concepts-for-developers-and-technology-professionals_introduction-to-natural-language-processing-concepts_04,ai-901,microsoft-learn-paths,Semantic language models,learning-unit,https://learn.microsoft.com/en-us/training/modules/introduction-language/4-semantic-models/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/modules/03_introduction-to-natural-language-processing-concepts,no,no,Introduction to natural language processing concepts,Semantic language models,2026-05-29T18:53:57Z,incomplete,Copied from local AI-901 Microsoft Learn capture.
ai-concepts-for-developers-and-technology-professionals_introduction-to-natural-language-processing-concepts_05,ai-901,microsoft-learn-paths,Exercise - Explore text analytics,learning-unit,https://learn.microsoft.com/en-us/training/modules/introduction-language/4b-exercise/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/modules/03_introduction-to-natural-language-processing-concepts/05_4b-exercise.md,no,yes,Introduction to natural language processing concepts,Exercise - Explore text analytics,2026-05-29T18:53:57Z,complete,Copied from local AI-901 Microsoft Learn capture.
ai-concepts-for-developers-and-technology-professionals_introduction-to-natural-language-processing-concepts_06,ai-901,microsoft-learn-paths,Module assessment,learning-unit,https://learn.microsoft.com/en-us/training/modules/introduction-language/5-knowledge-check/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/modules/03_introduction-to-natural-language-processing-concepts,no,no,Introduction to natural language processing concepts,Module assessment,2026-05-29T18:53:57Z,incomplete,Copied from local AI-901 Microsoft Learn capture.
ai-concepts-for-developers-and-technology-professionals_introduction-to-natural-language-processing-concepts_07,ai-901,microsoft-learn-paths,Summary,learning-unit,https://learn.microsoft.com/en-us/training/modules/introduction-language/6-summary/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/modules/03_introduction-to-natural-language-processing-concepts/07_6-summary.md,no,yes,Introduction to natural language processing concepts,Summary,2026-05-29T18:53:57Z,complete,Copied from local AI-901 Microsoft Learn capture.
ai-concepts-for-developers-and-technology-professionals_introduction-to-ai-speech-concepts_01,ai-901,microsoft-learn-paths,Introduction,learning-unit,https://learn.microsoft.com/en-us/training/modules/introduction-ai-speech/1-introduction/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/modules/04_introduction-to-ai-speech-concepts/01_1-introduction.md,yes,yes,Introduction to AI speech concepts,Introduction,2026-05-29T18:53:57Z,complete,Copied from local AI-901 Microsoft Learn capture.
ai-concepts-for-developers-and-technology-professionals_introduction-to-ai-speech-concepts_02,ai-901,microsoft-learn-paths,Speech-enabled solutions,learning-unit,https://learn.microsoft.com/en-us/training/modules/introduction-ai-speech/2-speech-solutions/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/modules/04_introduction-to-ai-speech-concepts/02_2-speech-solutions.md,yes,yes,Introduction to AI speech concepts,Speech-enabled solutions,2026-05-29T18:53:57Z,complete,Copied from local AI-901 Microsoft Learn capture.
ai-concepts-for-developers-and-technology-professionals_introduction-to-ai-speech-concepts_03,ai-901,microsoft-learn-paths,Speech recognition,learning-unit,https://learn.microsoft.com/en-us/training/modules/introduction-ai-speech/3-speech-recognition/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/modules/04_introduction-to-ai-speech-concepts/03_3-speech-recognition.md,yes,yes,Introduction to AI speech concepts,Speech recognition,2026-05-29T18:53:57Z,complete,Copied from local AI-901 Microsoft Learn capture.
ai-concepts-for-developers-and-technology-professionals_introduction-to-ai-speech-concepts_04,ai-901,microsoft-learn-paths,Speech synthesis,learning-unit,https://learn.microsoft.com/en-us/training/modules/introduction-ai-speech/4-speech-synthesis/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/modules/04_introduction-to-ai-speech-concepts/04_4-speech-synthesis.md,yes,yes,Introduction to AI speech concepts,Speech synthesis,2026-05-29T18:53:57Z,complete,Copied from local AI-901 Microsoft Learn capture.
ai-concepts-for-developers-and-technology-professionals_introduction-to-ai-speech-concepts_05,ai-901,microsoft-learn-paths,Exercise - Explore AI speech,learning-unit,https://learn.microsoft.com/en-us/training/modules/introduction-ai-speech/5-exercise-speech/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/modules/04_introduction-to-ai-speech-concepts/05_5-exercise-speech.md,yes,yes,Introduction to AI speech concepts,Exercise - Explore AI speech,2026-05-29T18:53:57Z,complete,Copied from local AI-901 Microsoft Learn capture.
ai-concepts-for-developers-and-technology-professionals_introduction-to-ai-speech-concepts_06,ai-901,microsoft-learn-paths,Module assessment,learning-unit,https://learn.microsoft.com/en-us/training/modules/introduction-ai-speech/6-knowledge-check/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/modules/04_introduction-to-ai-speech-concepts/06_6-knowledge-check.md,yes,yes,Introduction to AI speech concepts,Module assessment,2026-05-29T18:53:57Z,complete,Copied from local AI-901 Microsoft Learn capture.
ai-concepts-for-developers-and-technology-professionals_introduction-to-ai-speech-concepts_07,ai-901,microsoft-learn-paths,Summary,learning-unit,https://learn.microsoft.com/en-us/training/modules/introduction-ai-speech/7-summary/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/modules/04_introduction-to-ai-speech-concepts/07_7-summary.md,yes,yes,Introduction to AI speech concepts,Summary,2026-05-29T18:53:57Z,complete,Copied from local AI-901 Microsoft Learn capture.
ai-concepts-for-developers-and-technology-professionals_introduction-to-computer-vision-concepts_01,ai-901,microsoft-learn-paths,Introduction,learning-unit,https://learn.microsoft.com/en-us/training/modules/introduction-computer-vision/1-introduction/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/modules/05_introduction-to-computer-vision-concepts/01_1-introduction.md,yes,yes,Introduction to computer vision concepts,Introduction,2026-05-29T18:53:57Z,complete,Copied from local AI-901 Microsoft Learn capture.
ai-concepts-for-developers-and-technology-professionals_introduction-to-computer-vision-concepts_02,ai-901,microsoft-learn-paths,Computer vision tasks and techniques,learning-unit,https://learn.microsoft.com/en-us/training/modules/introduction-computer-vision/2-overview/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/modules/05_introduction-to-computer-vision-concepts/02_2-overview.md,yes,yes,Introduction to computer vision concepts,Computer vision tasks and techniques,2026-05-29T18:53:57Z,complete,Copied from local AI-901 Microsoft Learn capture.
ai-concepts-for-developers-and-technology-professionals_introduction-to-computer-vision-concepts_03,ai-901,microsoft-learn-paths,Images and image processing,learning-unit,https://learn.microsoft.com/en-us/training/modules/introduction-computer-vision/3-understand-image-processing/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/modules/05_introduction-to-computer-vision-concepts,no,no,Introduction to computer vision concepts,Images and image processing,2026-05-29T18:53:57Z,incomplete,Copied from local AI-901 Microsoft Learn capture.
ai-concepts-for-developers-and-technology-professionals_introduction-to-computer-vision-concepts_04,ai-901,microsoft-learn-paths,Convolutional neural networks,learning-unit,https://learn.microsoft.com/en-us/training/modules/introduction-computer-vision/4-computer-vision-models/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/modules/05_introduction-to-computer-vision-concepts/04_4-computer-vision-models.md,no,yes,Introduction to computer vision concepts,Convolutional neural networks,2026-05-29T18:53:57Z,complete,Copied from local AI-901 Microsoft Learn capture.
ai-concepts-for-developers-and-technology-professionals_introduction-to-computer-vision-concepts_05,ai-901,microsoft-learn-paths,Vision transformers and multimodal models,learning-unit,https://learn.microsoft.com/en-us/training/modules/introduction-computer-vision/5-modern-vision-models/,microsoft-learn-paths/ai-concepts-for-developers-and-technology-professionals/modules/05_introduction-to-computer-vision-concepts/05_5-modern-vision-models.md,no,yes,Introduction to computer vision concepts,Vision transformers and multimodal models,2026-05-29T18:53:57Z,complete,Copied from local AI-901 Microsoft Learn capture.
